date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
2021-01-01,Los Angeles,County,10257557.0,5343.0,847145.0,277.0,12747.0,16109.0,11718899,3478.0,1029142,19734.0,775578.0,195.0,10515.0,141973.0
2021-01-02,Los Angeles,County,10257557.0,14211.0,861356.0,255.0,13002.0,79492.0,11798391,18253.0,1047395,16314.0,791892.0,118.0,10633.0,189690.0
2021-01-03,Los Angeles,County,10257557.0,8366.0,869722.0,280.0,13282.0,42395.0,11840786,8083.0,1055478,276.0,792168.0,0.0,10633.0,152252.0
2021-01-04,Los Angeles,County,10257557.0,22063.0,891785.0,297.0,13579.0,158032.0,11998818,26936.0,1082414,20854.0,813022.0,157.0,10790.0,106999.0
2021-01-05,Los Angeles,County,10257557.0,20139.0,911924.0,284.0,13863.0,147986.0,12146804,25983.0,1108397,10761.0,823783.0,238.0,11028.0,99260.0
2021-01-06,Los Angeles,County,10257557.0,18737.0,930661.0,306.0,14169.0,142656.0,12289460,23883.0,1132280,11269.0,835052.0,257.0,11285.0,98460.0
2021-01-07,Los Angeles,County,10257557.0,15962.0,946623.0,279.0,14448.0,139406.0,12428866,21379.0,1153659,18135.0,853187.0,195.0,11480.0,117438.0
2021-01-08,Los Angeles,County,10257557.0,14922.0,961545.0,288.0,14736.0,129962.0,12558828,20932.0,1174591,18001.0,871188.0,316.0,11796.0,140148.0
2021-01-09,Los Angeles,County,10257557.0,10814.0,972359.0,302.0,15038.0,81925.0,12640753,15212.0,1189803,16761.0,887949.0,215.0,12011.0,221008.0
2021-01-10,Los Angeles,County,10257557.0,5580.0,977939.0,301.0,15339.0,39521.0,12680274,6007.0,1195810,13834.0,901783.0,159.0,12170.0,168816.0
2021-01-11,Los Angeles,County,10257557.0,14615.0,992554.0,300.0,15639.0,148496.0,12828770,19443.0,1215253,12651.0,914434.0,134.0,12304.0,171796.0
2021-01-12,Los Angeles,County,10257557.0,13228.0,1005782.0,292.0,15931.0,124835.0,12953605,17178.0,1232431,11861.0,926295.0,306.0,12610.0,167718.0
2021-01-13,Los Angeles,County,10257557.0,11664.0,1017446.0,260.0,16191.0,123374.0,13076979,16354.0,1248785,11690.0,937985.0,263.0,12873.0,141644.0
2021-01-14,Los Angeles,County,10257557.0,10794.0,1028240.0,280.0,16471.0,124849.0,13201828,16193.0,1264978,16667.0,954652.0,274.0,13147.0,149868.0
2021-01-15,Los Angeles,County,10257557.0,10028.0,1038268.0,300.0,16771.0,114597.0,13316425,15031.0,1280009,14327.0,968979.0,257.0,13404.0,164892.0
2021-01-16,Los Angeles,County,10257557.0,7051.0,1045319.0,250.0,17021.0,63720.0,13380145,10736.0,1290745,13705.0,982684.0,250.0,13654.0,217959.0
2021-01-17,Los Angeles,County,10257557.0,4085.0,1049404.0,267.0,17288.0,37397.0,13417542,4951.0,1295696,10344.0,993028.0,87.0,13741.0,217131.0
2021-01-18,Los Angeles,County,10257557.0,6658.0,1056062.0,249.0,17537.0,88264.0,13505806,8358.0,1304054,9586.0,1002614.0,87.0,13828.0,188829.0
2021-01-19,Los Angeles,County,10257557.0,9508.0,1065570.0,216.0,17753.0,129685.0,13635491,14336.0,1318390,7761.0,1010375.0,186.0,14014.0,134207.0
2021-01-20,Los Angeles,County,10257557.0,8677.0,1074247.0,243.0,17996.0,116521.0,13752012,12931.0,1331321,5233.0,1015608.0,285.0,14299.0,116769.0
2021-01-21,Los Angeles,County,10257557.0,7500.0,1081747.0,219.0,18215.0,111204.0,13863216,11863.0,1343184,7447.0,1023055.0,238.0,14537.0,112652.0
2021-01-22,Los Angeles,County,10257557.0,6666.0,1088413.0,220.0,18435.0,103150.0,13966366,11183.0,1354367,8122.0,1031177.0,240.0,14777.0,121736.0
2021-01-23,Los Angeles,County,10257557.0,4469.0,1092882.0,204.0,18639.0,47644.0,14014010,6914.0,1361281,9784.0,1040961.0,257.0,15034.0,168248.0
2021-01-24,Los Angeles,County,10257557.0,3238.0,1096120.0,166.0,18805.0,31854.0,14045864,4303.0,1365584,7796.0,1048757.0,85.0,15119.0,216552.0
2021-01-25,Los Angeles,County,10257557.0,6418.0,1102538.0,237.0,19042.0,109582.0,14155446,9492.0,1375076,6424.0,1055181.0,44.0,15163.0,184240.0
2021-01-26,Los Angeles,County,10257557.0,5967.0,1108505.0,189.0,19231.0,98229.0,14253675,8930.0,1384006,5311.0,1060492.0,295.0,15458.0,66548.0
2021-01-27,Los Angeles,County,10257557.0,5288.0,1113793.0,166.0,19397.0,94156.0,14347831,8446.0,1392452,6077.0,1066569.0,299.0,15757.0,61563.0
